customerid,age,gender,category,orderdate,shipdate,deliverytimedays,latedeliveryflag,unitprice,quantity,discountpercent,revenue,profit,totalordersbycustomer,customerlifetimevalue,campaignname,adspend,shippingprovider,highriskcustomerflag,shippingcost,paymentmethod,customersegment,returned,devicetype,orderstatus,warehouselocation,acquisitionchannel,productcostinr,grossmargininr,couponcodeused,calculated_profit,order_year,order_month,order_day,order_weekday,profit_margin_percent,,,,,,,,
CUST01399,44,Female,Toys,11-03-2024,18-03-2024,7,No,2900.06,2,5,5510.114,1941.581865,23,49694.07653,Summer Bonanza,0,Delhivery,Yes,243.63,Cash On Delivery,Unknown,Yes,Unknown,Delivered,Ahmedabad Wh,Facebook Ads,12082.98887,3203.158439,Yes,-6572.87487,2024,3,11,Monday,35.23669138,,,,,,,,CUST00040
CUST00040,23,Male,Toys,17-06-2024,23-06-2024,6,No,2195.59,4,5,8343.242,2434.425539,25,24550.82131,Festive Sale,177.74,Indiapost,No,149.69,Net Banking,At Risk,Yes,Desktop,Delivered,Mumbai Wh,Facebook Ads,19420.24492,2592.482501,Yes,-11077.00292,2024,6,17,Monday,29.17841217,,,,,,,,CUST02692
CUST02692,62,Male,Clothing,14-11-2022,26-11-2022,12,Yes,4025.41,2,5,7648.279,3524.758996,50,75318.96248,No Campaign,0,Not Assigned,Yes,259.46,Cash On Delivery,At Risk,No,Unknown,Delivered,Delhi Wh,Google Ads,16187.57465,163.8406834,Yes,-8539.29565,2022,11,14,Monday,46.08564876,,,,,,,,CUST01593
CUST01593,40,Female,Clothing,06-04-2022,08-04-2022,2,No,4587.24,2,5,8715.756,3099.717011,43,24115.18572,Clearance,358.96,Ecomexpress,No,227.61,Upi,New,Yes,Desktop,Delivered,Mumbai Wh,Referral,2859.33793,1340.768571,Yes,5856.41807,2022,4,6,Wednesday,35.56452258,,,,,,,,CUST01417
CUST01417,35,Male,Beauty,15-03-2022,27-03-2022,12,Yes,4735.11,2,5,8996.709,3692.185547,32,82140.59861,Festive Sale,0,Not Assigned,Yes,182.77,Cash On Delivery,Loyal,No,Tablet,Delivered,Delhi Wh,Google Ads,4339.547491,4436.411,Yes,4657.161509,2022,3,15,Tuesday,41.03929056,,,,,,,,CUST01750
CUST01750,20,Male,Clothing,22-04-2023,24-04-2023,2,No,5335.74,6,0,32014.44,7019.803201,45,211819.6733,Festive Sale,566.76,Ecomexpress,No,140.48,Credit Card,Loyal,No,Tablet,Returned,Mumbai Wh,Email,882.0957187,4653.415984,No,31132.34428,2023,4,22,Saturday,21.92699045,,,,,,,,CUST03891
CUST03891,54,Male,Home,26-01-2023,07-02-2023,12,Yes,2786.32,2,20,4458.112,473.1120188,28,41739.78763,Summer Bonanza,190.92,Delhivery,Yes,299.25,Cash On Delivery,Returning,Yes,Desktop,Returned,Delhi Wh,Referral,16709.05145,576.3279629,Yes,-12250.93945,2023,1,26,Thursday,10.61238522,,,,,,,,CUST00043
CUST00043,30,Male,Toys,17-07-2023,20-07-2023,3,No,3640.75,6,5,20752.275,3387.463276,6,134978.6461,Summer Bonanza,214.62,Not Assigned,No,70.71,Net Banking,Returning,No,Unknown,Shipped,Mumbai Wh,Google Ads,11950.46076,4767.880622,Yes,8801.81424,2023,7,17,Monday,16.32333455,,,,,,,,CUST00448
CUST00448,39,Female,Clothing,13-06-2023,19-06-2023,6,No,3447.91,5,20,13791.64,4319.699476,5,36724.57044,Summer Bonanza,329.03,Indiapost,Yes,205.97,Debit Card,Loyal,No,Unknown,Delivered,Bangalore Wh,Email,4458.287995,3385.577654,Yes,9333.352005,2023,6,13,Tuesday,31.32114437,,,,,,,,CUST00515
CUST00515,55,Female,Beauty,16-09-2024,20-09-2024,4,No,2199,1,15,1869.15,559.7847605,11,13851.1808,No Campaign,214.68,Not Assigned,No,107.79,Upi,Returning,No,Unknown,Delivered,Mumbai Wh,Organic,19407.67903,4620.532111,Yes,-17538.52903,2024,9,16,Monday,29.94862694,,,,,,,,CUST00266
CUST00266,20,Male,Electronics,22-05-2024,29-05-2024,7,No,2602.69,4,10,9369.684,1440.092079,33,25421.48091,No Campaign,0,Not Assigned,Yes,62.23,Debit Card,Loyal,Yes,Mobile,Delivered,Ahmedabad Wh,Email,14787.4317,2065.703297,Yes,-5417.7477,2024,5,22,Wednesday,15.36969741,,,,,,,,CUST01059
CUST01059,41,Male,Clothing,23-12-2024,25-12-2024,2,No,1576.18,5,20,6304.72,1013.528288,50,42996.80901,New Year Blast,320.33,Bluedart,No,125.75,Credit Card,At Risk,No,Desktop,Delivered,Ahmedabad Wh,Google Ads,14169.27274,598.5507086,Yes,-7864.55274,2024,12,23,Monday,16.07570658,,,,,,,,CUST03588
CUST03588,63,Male,Health,02-05-2023,12-05-2023,10,Yes,2739.94,2,5,5205.886,1141.210071,12,25457.98513,Festive Sale,654.94,Indiapost,Yes,264.98,Debit Card,Returning,Yes,Desktop,Delivered,Delhi Wh,Referral,5486.47914,1582.020993,Yes,-280.59314,2023,5,2,Tuesday,21.92153403,,,,,,,,CUST01360
CUST01360,62,Female,Sports,14-04-2022,22-04-2022,8,Yes,798.88,3,20,1917.312,791.4163984,40,9313.426218,New Year Blast,505.76,Indiapost,No,43.02,Upi,Loyal,No,Tablet,Delivered,Ahmedabad Wh,Referral,6404.797885,3479.439434,Yes,-4487.485885,2022,4,14,Thursday,41.27739243,,,,,,,,CUST01699
CUST01699,58,Male,Clothing,21-08-2022,01-09-2022,11,Yes,1057.07,6,15,5391.057,1485.84456,1,26375.57417,Clearance,416.67,Indiapost,Yes,129.19,Upi,At Risk,Yes,Unknown,Delivered,Delhi Wh,Organic,13425.98106,3996.585345,Yes,-8034.92406,2022,8,21,Sunday,27.56128455,,,,,,,,CUST02593
CUST02593,21,Female,Toys,10-04-2022,11-04-2022,1,No,2371.32,2,5,4505.508,1137.570752,20,25453.37422,Clearance,358.62,Ecomexpress,No,210.2,Unknown,Unknown,No,Tablet,Returned,Bangalore Wh,Google Ads,11952.32264,345.5991863,Yes,-7446.81464,2022,4,10,Sunday,25.24844595,,,,,,,,CUST00716
CUST00716,42,Male,Health,14-04-2022,21-04-2022,7,No,4307.82,3,15,10984.941,5093.061884,47,61964.6401,Festive Sale,0,Ecomexpress,No,273.83,Cash On Delivery,At Risk,Yes,Desktop,Delivered,Ahmedabad Wh,Organic,13016.21415,2486.063183,Yes,-2031.27315,2022,4,14,Thursday,46.36403495,,,,,,,,CUST01800
CUST01800,37,Female,Toys,20-05-2024,23-05-2024,3,No,5330.09,1,5,5063.5855,2212.592795,10,24747.97226,No Campaign,234.28,Delhivery,No,160.54,Debit Card,Returning,No,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,17600.69109,415.3968407,Yes,-12537.10559,2024,5,20,Monday,43.69616737,,,,,,,,CUST00679
CUST00679,64,Female,Toys,05-03-2024,07-03-2024,2,No,4525.17,6,0,27151.02,6258.68918,50,245354.1003,New Year Blast,580.11,Not Assigned,No,139.7,Upi,Loyal,No,Tablet,Delivered,Delhi Wh,Email,3375.938279,4331.705191,No,23775.08172,2024,3,5,Tuesday,23.05139615,,,,,,,,CUST02628
CUST02628,27,Male,Toys,25-08-2024,26-08-2024,1,No,4296.89,2,10,7734.402,2181.651888,14,19836.14463,New Year Blast,0,Not Assigned,No,178.63,Credit Card,Loyal,No,Mobile,Delivered,Bangalore Wh,Facebook Ads,2503.401663,2434.060241,Yes,5231.000337,2024,8,25,Sunday,28.20711786,,,,,,,,CUST01235
CUST01235,55,Female,Toys,01-10-2022,05-10-2022,4,No,4934.87,5,10,22206.915,7617.316258,22,212916.2773,Summer Bonanza,0,Not Assigned,No,298.47,Cash On Delivery,Unknown,Yes,Mobile,Delivered,Bangalore Wh,Facebook Ads,11379.73655,4582.626949,Yes,10827.17845,2022,10,1,Saturday,34.30155093,,,,,,,,CUST02307
CUST02307,30,Male,Electronics,07-11-2022,16-11-2022,9,Yes,633.71,5,5,3010.1225,627.1282565,31,21274.22934,Summer Bonanza,383.11,Delhivery,Yes,113.42,Unknown,Loyal,Yes,Mobile,Delivered,Mumbai Wh,Organic,10103.08369,485.0361832,Yes,-7092.96119,2022,11,7,Monday,20.8339779,,,,,,,,CUST02571
CUST02571,44,Female,Clothing,03-01-2024,15-01-2024,12,Yes,4772.66,6,5,27204.162,5498.304546,16,181739.429,No Campaign,155.02,Bluedart,Yes,295.2,Net Banking,Loyal,No,Mobile,Returned,Delhi Wh,Organic,8176.823767,1719.302925,Yes,19027.33823,2024,1,3,Wednesday,20.21126233,,,,,,,,CUST03041
CUST03041,32,Male,Electronics,18-08-2023,22-08-2023,4,No,4586.7,3,20,11008.08,5010.664347,48,107116.967,Clearance,680.81,Delhivery,No,221.5,Cash On Delivery,New,No,Desktop,Cancelled,Delhi Wh,Email,18113.31259,3415.038322,Yes,-7105.23259,2023,8,18,Friday,45.51805898,,,,,,,,CUST01698
CUST01698,24,Female,Toys,07-09-2022,12-09-2022,5,No,2597.8,4,5,9871.64,3411.046412,16,29002.7366,Clearance,0,Ecomexpress,No,135.9,Unknown,Loyal,No,Mobile,Returned,Bangalore Wh,Organic,11255.92908,1538.571797,Yes,-1384.28908,2022,9,7,Wednesday,34.55399925,,,,,,,,CUST03749
CUST03749,47,Female,Sports,02-07-2023,11-07-2023,9,Yes,5124.19,4,0,20496.76,9252.204554,14,40307.5999,Summer Bonanza,0,Not Assigned,No,68.03,Credit Card,Loyal,Yes,Tablet,Shipped,Delhi Wh,Organic,11431.5772,4223.636848,No,9065.1828,2023,7,2,Sunday,45.13983944,,,,,,,,CUST03482
CUST03482,27,Male,Electronics,10-08-2022,19-08-2022,9,Yes,5150.6,1,0,5150.6,1507.780584,7,12883.48277,Festive Sale,216.76,Bluedart,No,280.8,Credit Card,At Risk,Yes,Unknown,Delivered,Ahmedabad Wh,Organic,7455.30048,4935.485122,No,-2304.70048,2022,8,10,Wednesday,29.27388234,,,,,,,,CUST01409
CUST01409,60,Male,Toys,06-10-2024,09-10-2024,3,No,5114.2,6,5,29150.94,8615.372317,38,288476.3408,Summer Bonanza,0,Ecomexpress,Yes,49.75,Credit Card,Unknown,No,Unknown,Returned,Ahmedabad Wh,Organic,7012.622353,1477.976037,Yes,22138.31765,2024,10,6,Sunday,29.55435508,,,,,,,,CUST01713
CUST01713,57,Male,Electronics,03-01-2023,15-01-2023,12,Yes,2341.59,6,5,13347.063,5948.620122,35,33537.97454,Summer Bonanza,463.65,Delhivery,No,258.55,Cash On Delivery,Loyal,Yes,Desktop,Delivered,Ahmedabad Wh,Organic,19754.56802,1869.281536,Yes,-6407.50502,2023,1,3,Tuesday,44.56875735,,,,,,,,CUST00729
CUST00729,62,Male,Electronics,21-08-2022,24-08-2022,3,No,3356.09,4,10,12081.924,3969.151839,48,77603.99189,Clearance,381.29,Delhivery,Yes,247.8,Credit Card,Loyal,Yes,Desktop,Delivered,Delhi Wh,Facebook Ads,12536.84079,4839.993144,Yes,-454.91679,2022,8,21,Sunday,32.85198482,,,,,,,,CUST00676
CUST00676,38,Male,Toys,06-11-2022,10-11-2022,4,No,4631.71,2,10,8337.078,3676.393007,27,76450.75709,Clearance,0,Ecomexpress,No,134.49,Debit Card,At Risk,No,Tablet,Delivered,Mumbai Wh,Facebook Ads,16537.2904,1854.499422,Yes,-8200.2124,2022,11,6,Sunday,44.0969007,,,,,,,,CUST00669
CUST00669,31,Female,Beauty,07-05-2024,16-05-2024,9,Yes,2785.84,2,5,5293.096,2230.081707,31,17471.6624,New Year Blast,658.75,Delhivery,Yes,200.43,Debit Card,Loyal,Yes,Mobile,Delivered,Mumbai Wh,Email,9059.671434,2824.333915,Yes,-3766.575434,2024,5,7,Tuesday,42.1318961,,,,,,,,CUST01660
CUST01660,55,Female,Health,05-10-2022,09-10-2022,4,No,549.05,6,20,2635.44,772.1735638,38,4281.022092,Festive Sale,0,Ecomexpress,Yes,117.53,Upi,New,No,Unknown,Delivered,Bangalore Wh,Referral,3998.71524,3869.284165,Yes,-1363.27524,2022,10,5,Wednesday,29.29960704,,,,,,,,CUST00162
CUST00162,19,Male,Health,16-11-2022,22-11-2022,6,No,2511.66,2,0,5023.32,1725.237959,15,34125.16727,No Campaign,0,Delhivery,No,99.86,Debit Card,At Risk,No,Tablet,Delivered,Delhi Wh,Email,6631.851664,2247.889296,No,-1608.531664,2022,11,16,Wednesday,34.34457608,,,,,,,,CUST02063
CUST02063,59,Male,Electronics,07-03-2024,09-03-2024,2,No,1106.26,5,0,5531.3,2194.368119,44,16955.93908,New Year Blast,687.36,Delhivery,No,264.16,Debit Card,New,Yes,Unknown,Shipped,Bangalore Wh,Google Ads,7053.319889,1925.778951,No,-1522.019889,2024,3,7,Thursday,39.67183337,,,,,,,,CUST01241
CUST01241,38,Female,Clothing,21-02-2024,23-02-2024,2,No,4782.74,3,20,11478.576,4027.62147,50,95427.64599,Clearance,0,Delhivery,Yes,269.58,Unknown,Loyal,No,Desktop,Delivered,Delhi Wh,Email,11385.26799,2528.382896,Yes,93.30801,2024,2,21,Wednesday,35.08816311,,,,,,,,CUST03153
CUST03153,44,Female,Clothing,16-02-2024,21-02-2024,5,No,4250.89,3,5,12115.0365,5611.246028,5,120685.9578,No Campaign,0,Delhivery,Yes,234.53,Net Banking,Returning,No,Desktop,Delivered,Mumbai Wh,Email,3261.390537,3919.647427,Yes,8853.645963,2024,2,16,Friday,46.3163774,,,,,,,,CUST03807
CUST03807,38,Male,Electronics,15-06-2022,27-06-2022,12,Yes,2780.14,2,0,5560.28,2627.365067,12,11574.74565,New Year Blast,469.94,Bluedart,No,83.56,Net Banking,Returning,Yes,Desktop,Delivered,Ahmedabad Wh,Organic,7862.9588,1629.595158,No,-2302.6788,2022,6,15,Wednesday,47.25238778,,,,,,,,CUST00795
CUST00795,46,Male,Clothing,15-02-2022,27-02-2022,12,Yes,358.2,6,5,2041.74,465.0247895,10,15170.63438,No Campaign,0,Ecomexpress,No,109.06,Cash On Delivery,At Risk,Yes,Mobile,Delivered,Delhi Wh,Organic,2191.428077,1818.956736,Yes,-149.688077,2022,2,15,Tuesday,22.77590631,,,,,,,,CUST01738
CUST03462,19,Female,Home,28-09-2023,02-10-2023,4,No,2897.57,4,10,10431.252,3686.628513,44,88983.80064,Festive Sale,0,Ecomexpress,No,291.74,Net Banking,Returning,Yes,Tablet,Shipped,Mumbai Wh,Organic,10031.30169,1026.782589,Yes,399.95031,2023,9,28,Thursday,35.34214793,,,,,,,,CUST02858
CUST01738,51,Female,Beauty,30-01-2024,10-02-2024,11,Yes,692.14,2,0,1384.28,-11.65128719,11,11177.58672,Festive Sale,282.49,Not Assigned,Yes,251.75,Net Banking,Unknown,No,Tablet,Delivered,Mumbai Wh,Referral,18959.00365,3537.92575,No,-17574.72365,2024,1,30,Tuesday,-0.841685728,,,,,,,,CUST01803
CUST02858,38,Male,Home,26-12-2024,07-01-2025,12,Yes,5456.34,6,0,32738.04,8205.762654,13,60280.71133,Clearance,0,Indiapost,Yes,73.23,Unknown,New,Yes,Tablet,Returned,Mumbai Wh,Organic,6910.886763,4507.307298,No,25827.15324,2024,12,26,Thursday,25.06491731,,,,,,,,CUST03525
CUST01803,41,Female,Clothing,07-02-2023,11-02-2023,4,No,5811.4,5,20,23245.6,5146.355791,17,179960.8012,Clearance,357.8,Bluedart,No,252.1,Cash On Delivery,Unknown,No,Unknown,Cancelled,Ahmedabad Wh,Google Ads,1184.306518,1010.125612,Yes,22061.29348,2023,2,7,Tuesday,22.13905337,,,,,,,,CUST01768
CUST03525,27,Male,Sports,08-09-2022,11-09-2022,3,No,5746.33,6,0,34477.98,11402.6149,47,99353.37296,Summer Bonanza,520.62,Delhivery,No,292.06,Upi,Loyal,No,Unknown,Delivered,Mumbai Wh,Facebook Ads,12253.4583,269.4887316,No,22224.5217,2022,9,8,Thursday,33.07216635,,,,,,,,CUST03303
CUST01768,26,Male,Toys,30-05-2024,10-06-2024,11,Yes,5485.46,3,10,14810.742,2321.904198,21,29845.01546,New Year Blast,141.99,Bluedart,No,143.59,Credit Card,Returning,No,Tablet,Delivered,Bangalore Wh,Google Ads,12767.64746,1968.226226,Yes,2043.09454,2024,5,30,Thursday,15.67716322,,,,,,,,CUST02421
CUST03303,58,Female,Electronics,24-02-2023,04-03-2023,8,No,2910.62,5,10,13097.79,4586.215792,8,88247.74536,Clearance,0,Indiapost,No,87.54,Credit Card,Loyal,No,Unknown,Shipped,Mumbai Wh,Referral,9695.480239,2109.758348,Yes,3402.309761,2023,2,24,Friday,35.015188,,,,,,,,CUST01205
CUST02421,45,Female,Toys,28-11-2023,03-12-2023,5,No,1281.38,3,0,3844.14,1610.066812,23,27560.84159,Clearance,0,Delhivery,No,170.88,Net Banking,Loyal,No,Tablet,Cancelled,Mumbai Wh,Organic,8057.81985,3264.731281,No,-4213.67985,2023,11,28,Tuesday,41.8836674,,,,,,,,CUST02226
CUST01205,43,Male,Electronics,04-05-2023,09-05-2023,5,No,2583.4,1,0,2583.4,407.0981303,47,8148.997367,No Campaign,619.92,Indiapost,No,75.9,Unknown,New,No,Mobile,Cancelled,Delhi Wh,Email,17874.75909,519.395895,No,-15291.35909,2023,5,4,Thursday,15.75823064,,,,,,,,CUST02076
CUST02226,47,Male,Home,24-07-2022,01-08-2022,8,Yes,4920.28,5,10,22141.26,3216.01656,42,219038.7573,No Campaign,141.94,Bluedart,No,159.66,Net Banking,Unknown,No,Tablet,Cancelled,Delhi Wh,Facebook Ads,18781.05623,4125.342188,Yes,3360.20377,2022,7,24,Sunday,14.52499343,,,,,,,,CUST02364
